
Host: DatNguyenPC

Timers On : Tue Jun  4 14:44:11 2024
Timers Off: Tue Jun  4 14:57:49 2024

Wall Time:      818.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.038w      1 calls
SAD Guess                           :      0.000u      0.000s      0.038w      1 calls
HF: Form G                          :      0.000u      0.000s      3.559w      8 calls
RV: Form V                          :      0.000u      0.000s      3.534w      8 calls
Properties                          :      0.000u      0.000s      0.322w  13248 calls
Functional                          :      0.000u      0.000s      2.087w  13248 calls
V_xc                                :      0.000u      0.000s      1.109w  13248 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.024w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.024w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.207w      7 calls
HF: Form C                          :      0.000u      0.000s      0.005w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.192w      1 calls
| build grid                        :      0.000u      0.000s      0.154w      1 calls
| post-process grid                 :      0.000u      0.000s      0.038w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.082w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.023w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.038w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.038w      1 calls
HF: Form G                          :      0.000u      0.000s      3.559w      8 calls
| RV: Form V                        :      0.000u      0.000s      3.534w      8 calls
| | Properties                      :      0.000u      0.000s      0.322w  13248 calls
| | Functional                      :      0.000u      0.000s      2.087w  13248 calls
| | V_xc                            :      0.000u      0.000s      1.109w  13248 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.024w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.024w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.013w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.207w      7 calls
HF: Form C                          :      0.000u      0.000s      0.005w      7 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 15:04:49 2024
Timers Off: Tue Jun  4 15:24:25 2024

Wall Time:     1176.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     14.910w     67 calls
build grid                          :      0.000u      0.000s      7.817w     67 calls
post-process grid                   :      0.000u      0.000s      7.076w     67 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.408w     67 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      4.463w   1396 calls
DFH: initialize()                   :      0.000u      0.000s     20.905w     67 calls
DFH: AO Construction                :      0.000u      0.000s      2.983w     67 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      8.450w     67 calls
HF: Form core H                     :      0.000u      0.000s      0.991w     67 calls
HF: Form S/X                        :      0.000u      0.000s      0.210w     67 calls
HF: Guess                           :      0.000u      0.000s      1.337w     67 calls
SAD Guess                           :      0.000u      0.000s      1.314w     13 calls
HF: Form G                          :      0.000u      0.000s    159.451w    711 calls
RV: Form V                          :      0.000u      0.000s    135.185w    711 calls
Properties                          :    480.174p                         1959990 calls
Functional                          :    373.612p                         1959990 calls
V_xc                                :    483.908p                         1794452 calls
JK: D                               :      0.000u      0.000s      0.029w    711 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    711 calls
JK: JK                              :      0.000u      0.000s     24.104w    711 calls
DFH: compute_JK()                   :      0.000u      0.000s     24.078w    711 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    711 calls
DFH: compute_J                      :      0.000u      0.000s      4.914w    711 calls
DFH: compute_K                      :      0.000u      0.000s     12.101w    711 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    711 calls
HF: Form F                          :      0.000u      0.000s      0.035w    711 calls
HF: Form D                          :      0.000u      0.000s      0.022w    711 calls
HF: DIIS                            :      0.000u      0.000s      3.350w    698 calls
HF: Form C                          :      0.000u      0.000s      1.790w    698 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.482w     66 calls
Grad: S                             :      0.000u      0.000s      0.160w     66 calls
Grad: JK                            :      0.000u      0.000s    206.562w     66 calls
JKGrad: Amn                         :      0.000u      0.000s      6.769w     66 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     66 calls
JKGrad: AB                          :      0.000u      0.000s      7.538w     66 calls
JKGrad: UV                          :      0.000u      0.000s    180.604w     66 calls
JKGrad: ABx                         :      0.000u      0.000s      0.684w     66 calls
JKGrad: Amnx                        :      0.000u      0.000s     10.627w     66 calls
Grad: XC                            :      0.000u      0.000s     53.052w     66 calls
V_xc gradient                       :    145.210p                         165538 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     14.910w     67 calls
| build grid                        :      0.000u      0.000s      7.817w     67 calls
| post-process grid                 :      0.000u      0.000s      7.076w     67 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.408w     67 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.967w     67 calls
DFH: initialize()                   :      0.000u      0.000s     20.905w     67 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.173w    603 calls
| DFH: AO Construction              :      0.000u      0.000s      2.983w     67 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      8.450w     67 calls
HF: Form core H                     :      0.000u      0.000s      0.991w     67 calls
HF: Form S/X                        :      0.000u      0.000s      0.210w     67 calls
HF: Guess                           :      0.000u      0.000s      1.337w     67 calls
| SAD Guess                         :      0.000u      0.000s      1.314w     13 calls
HF: Form G                          :      0.000u      0.000s    159.451w    711 calls
| RV: Form V                        :      0.000u      0.000s    135.185w    711 calls
| | Properties                      :    251.066p                         1794452 calls
| | Functional                      :    340.199p                         1794452 calls
| | V_xc                            :    483.908p                         1794452 calls
| JK: D                             :      0.000u      0.000s      0.029w    711 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    711 calls
| JK: JK                            :      0.000u      0.000s     24.104w    711 calls
| | DFH: compute_JK()               :      0.000u      0.000s     24.078w    711 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    711 calls
| | | DFH: compute_J                :      0.000u      0.000s      4.914w    711 calls
| | | DFH: compute_K                :      0.000u      0.000s     12.101w    711 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    711 calls
HF: Form F                          :      0.000u      0.000s      0.035w    711 calls
HF: Form D                          :      0.000u      0.000s      0.022w    711 calls
HF: DIIS                            :      0.000u      0.000s      3.350w    698 calls
HF: Form C                          :      0.000u      0.000s      1.790w    698 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.482w     66 calls
Grad: S                             :      0.000u      0.000s      0.160w     66 calls
Grad: JK                            :      0.000u      0.000s    206.562w     66 calls
| JKGrad: Amn                       :      0.000u      0.000s      6.769w     66 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.142w     66 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     66 calls
| JKGrad: AB                        :      0.000u      0.000s      7.538w     66 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.059w    528 calls
| JKGrad: UV                        :      0.000u      0.000s    180.604w     66 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.684w     66 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.010w     66 calls
| JKGrad: Amnx                      :      0.000u      0.000s     10.627w     66 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.112w     66 calls
Grad: XC                            :      0.000u      0.000s     53.052w     66 calls
| Properties                        :    229.108p                         165538 calls
| Functional                        :     33.413p                         165538 calls
| V_xc gradient                     :    145.210p                         165538 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 15:38:02 2024
Timers Off: Tue Jun  4 15:48:17 2024

Wall Time:      615.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     14.856w     66 calls
build grid                          :      0.000u      0.000s      7.934w     66 calls
post-process grid                   :      0.000u      0.000s      6.907w     66 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.395w     66 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      4.479w   1384 calls
DFH: initialize()                   :      0.000u      0.000s     20.249w     66 calls
DFH: AO Construction                :      0.000u      0.000s      2.886w     66 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      8.045w     66 calls
HF: Form core H                     :      0.000u      0.000s      1.434w     66 calls
HF: Form S/X                        :      0.000u      0.000s      0.202w     66 calls
HF: Guess                           :      0.000u      0.000s      1.242w     66 calls
SAD Guess                           :      0.000u      0.000s      1.222w     13 calls
HF: Form G                          :      0.000u      0.000s    154.863w    706 calls
RV: Form V                          :      0.000u      0.000s    131.502w    706 calls
Properties                          :    450.170p                         1942376 calls
Functional                          :    364.996p                         1942376 calls
V_xc                                :    472.194p                         1779676 calls
JK: D                               :      0.000u      0.000s      0.028w    706 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    706 calls
JK: JK                              :      0.000u      0.000s     23.203w    706 calls
DFH: compute_JK()                   :      0.000u      0.000s     23.178w    706 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    706 calls
DFH: compute_J                      :      0.000u      0.000s      4.783w    706 calls
DFH: compute_K                      :      0.000u      0.000s     11.748w    706 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    706 calls
HF: Form F                          :      0.000u      0.000s      0.035w    706 calls
HF: Form D                          :      0.000u      0.000s      0.020w    706 calls
HF: DIIS                            :      0.000u      0.000s      3.552w    693 calls
HF: Form C                          :      0.000u      0.000s      1.750w    693 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.472w     65 calls
Grad: S                             :      0.000u      0.000s      0.158w     65 calls
Grad: JK                            :      0.000u      0.000s    196.871w     65 calls
JKGrad: Amn                         :      0.000u      0.000s      6.418w     65 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     65 calls
JKGrad: AB                          :      0.000u      0.000s      7.344w     65 calls
JKGrad: UV                          :      0.000u      0.000s    171.811w     65 calls
JKGrad: ABx                         :      0.000u      0.000s      0.665w     65 calls
JKGrad: Amnx                        :      0.000u      0.000s     10.325w     65 calls
Grad: XC                            :      0.000u      0.000s     48.448w     65 calls
V_xc gradient                       :    133.128p                         162700 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     14.856w     66 calls
| build grid                        :      0.000u      0.000s      7.934w     66 calls
| post-process grid                 :      0.000u      0.000s      6.907w     66 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.395w     66 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.956w     66 calls
DFH: initialize()                   :      0.000u      0.000s     20.249w     66 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.177w    594 calls
| DFH: AO Construction              :      0.000u      0.000s      2.886w     66 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      8.045w     66 calls
HF: Form core H                     :      0.000u      0.000s      1.434w     66 calls
HF: Form S/X                        :      0.000u      0.000s      0.202w     66 calls
HF: Guess                           :      0.000u      0.000s      1.242w     66 calls
| SAD Guess                         :      0.000u      0.000s      1.222w     13 calls
HF: Form G                          :      0.000u      0.000s    154.863w    706 calls
| RV: Form V                        :      0.000u      0.000s    131.502w    706 calls
| | Properties                      :    240.260p                         1779676 calls
| | Functional                      :    333.780p                         1779676 calls
| | V_xc                            :    472.194p                         1779676 calls
| JK: D                             :      0.000u      0.000s      0.028w    706 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    706 calls
| JK: JK                            :      0.000u      0.000s     23.203w    706 calls
| | DFH: compute_JK()               :      0.000u      0.000s     23.178w    706 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    706 calls
| | | DFH: compute_J                :      0.000u      0.000s      4.783w    706 calls
| | | DFH: compute_K                :      0.000u      0.000s     11.748w    706 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    706 calls
HF: Form F                          :      0.000u      0.000s      0.035w    706 calls
HF: Form D                          :      0.000u      0.000s      0.020w    706 calls
HF: DIIS                            :      0.000u      0.000s      3.552w    693 calls
HF: Form C                          :      0.000u      0.000s      1.750w    693 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.472w     65 calls
Grad: S                             :      0.000u      0.000s      0.158w     65 calls
Grad: JK                            :      0.000u      0.000s    196.871w     65 calls
| JKGrad: Amn                       :      0.000u      0.000s      6.418w     65 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.103w     65 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     65 calls
| JKGrad: AB                        :      0.000u      0.000s      7.344w     65 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.058w    520 calls
| JKGrad: UV                        :      0.000u      0.000s    171.811w     65 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.665w     65 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.010w     65 calls
| JKGrad: Amnx                      :      0.000u      0.000s     10.325w     65 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.074w     65 calls
Grad: XC                            :      0.000u      0.000s     48.448w     65 calls
| Properties                        :    209.910p                         162700 calls
| Functional                        :     31.216p                         162700 calls
| V_xc gradient                     :    133.128p                         162700 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.102w      9 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 15:48:28 2024
Timers Off: Tue Jun  4 15:49:15 2024

Wall Time:       46.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 15:50:24 2024
Timers Off: Tue Jun  4 16:39:18 2024

Wall Time:     2934.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     41.112w    188 calls
build grid                          :      0.000u      0.000s     17.455w    188 calls
post-process grid                   :      0.000u      0.000s     23.615w    188 calls
DFH: sparsity prep                  :      0.000u      0.000s      3.661w    188 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s     13.033w   8172 calls
DFH: initialize()                   :      0.000u      0.000s     72.902w    188 calls
DFH: AO Construction                :      0.000u      0.000s      8.445w    188 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s     30.323w    188 calls
HF: Form core H                     :      0.000u      0.000s      5.215w    188 calls
HF: Form S/X                        :      0.000u      0.000s      0.785w    188 calls
HF: Guess                           :      0.000u      0.000s      4.555w    188 calls
SAD Guess                           :      0.000u      0.000s      4.494w     30 calls
HF: Form G                          :      0.000u      0.000s    642.044w   1919 calls
RV: Form V                          :      0.000u      0.000s    401.679w   1410 calls
Properties                          :   3717.448p                         4686829 calls
Functional                          :   2728.659p                         4686829 calls
V_xc                                :   3280.515p                         4283176 calls
JK: D                               :      0.000u      0.000s      0.119w   1919 calls
JK: USO2AO                          :      0.000u      0.000s      0.051w   1919 calls
JK: JK                              :      0.000u      0.000s     90.484w   1919 calls
DFH: compute_JK()                   :      0.000u      0.000s     90.381w   1919 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.003w   1919 calls
DFH: compute_J                      :      0.000u      0.000s     19.540w   1919 calls
DFH: compute_K                      :      0.000u      0.000s     46.097w   1919 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w   1919 calls
UV: Form V                          :      0.000u      0.000s    148.947w    509 calls
HF: Form F                          :      0.000u      0.000s      0.149w   1919 calls
HF: Form D                          :      0.000u      0.000s      0.092w   1919 calls
HF: DIIS                            :      0.000u      0.000s     11.883w   1889 calls
HF: Form C                          :      0.000u      0.000s      7.873w   1889 calls
Grad: V T Perturb                   :      0.000u      0.000s     11.736w    188 calls
Grad: S                             :      0.000u      0.000s      5.520w    188 calls
Grad: JK                            :      0.000u      0.000s    651.212w    188 calls
JKGrad: Amn                         :      0.000u      0.000s     26.203w    188 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    188 calls
JKGrad: AB                          :      0.000u      0.000s     24.613w    188 calls
JKGrad: UV                          :      0.000u      0.000s    557.926w    188 calls
JKGrad: ABx                         :      0.000u      0.000s      2.049w    188 calls
JKGrad: Amnx                        :      0.000u      0.000s     39.500w    188 calls
Grad: XC                            :      0.000u      0.000s    254.125w    188 calls
V_xc gradient                       :   1201.699p                         403653 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     41.112w    188 calls
| build grid                        :      0.000u      0.000s     17.455w    188 calls
| post-process grid                 :      0.000u      0.000s     23.615w    188 calls
DFH: sparsity prep                  :      0.000u      0.000s      3.661w    188 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      2.564w    188 calls
DFH: initialize()                   :      0.000u      0.000s     72.902w    188 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      3.588w   3804 calls
| DFH: AO Construction              :      0.000u      0.000s      8.445w    188 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s     30.323w    188 calls
HF: Form core H                     :      0.000u      0.000s      5.215w    188 calls
HF: Form S/X                        :      0.000u      0.000s      0.785w    188 calls
HF: Guess                           :      0.000u      0.000s      4.555w    188 calls
| SAD Guess                         :      0.000u      0.000s      4.494w     30 calls
HF: Form G                          :      0.000u      0.000s    642.044w   1919 calls
| RV: Form V                        :      0.000u      0.000s    401.679w   1410 calls
| | Properties                      :   2119.043p                         3344165 calls
| | Functional                      :   1934.226p                         3344165 calls
| | V_xc                            :   2639.637p                         3344165 calls
| JK: D                             :      0.000u      0.000s      0.119w   1919 calls
| JK: USO2AO                        :      0.000u      0.000s      0.051w   1919 calls
| JK: JK                            :      0.000u      0.000s     90.484w   1919 calls
| | DFH: compute_JK()               :      0.000u      0.000s     90.381w   1919 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.003w   1919 calls
| | | DFH: compute_J                :      0.000u      0.000s     19.540w   1919 calls
| | | DFH: compute_K                :      0.000u      0.000s     46.097w   1919 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w   1919 calls
| UV: Form V                        :      0.000u      0.000s    148.947w    509 calls
| | Properties                      :    342.822p                         939011 calls
| | Functional                      :    195.934p                         939011 calls
| | V_xc                            :    640.878p                         939011 calls
HF: Form F                          :      0.000u      0.000s      0.149w   1919 calls
HF: Form D                          :      0.000u      0.000s      0.092w   1919 calls
HF: DIIS                            :      0.000u      0.000s     11.883w   1889 calls
HF: Form C                          :      0.000u      0.000s      7.873w   1889 calls
Grad: V T Perturb                   :      0.000u      0.000s     11.736w    188 calls
Grad: S                             :      0.000u      0.000s      5.520w    188 calls
Grad: JK                            :      0.000u      0.000s    651.212w    188 calls
| JKGrad: Amn                       :      0.000u      0.000s     26.203w    188 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      3.170w    188 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    188 calls
| JKGrad: AB                        :      0.000u      0.000s     24.613w    188 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.455w   3616 calls
| JKGrad: UV                        :      0.000u      0.000s    557.926w    188 calls
| JKGrad: ABx                       :      0.000u      0.000s      2.049w    188 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.029w    188 calls
| JKGrad: Amnx                      :      0.000u      0.000s     39.500w    188 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      3.227w    188 calls
Grad: XC                            :      0.000u      0.000s    254.125w    188 calls
| Properties                        :   1255.584p                         403653 calls
| Functional                        :    598.499p                         403653 calls
| V_xc gradient                     :   1201.699p                         403653 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 16:39:42 2024
Timers Off: Tue Jun  4 16:43:10 2024

Wall Time:      208.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.272w      2 calls
build grid                          :      0.000u      0.000s      0.129w      2 calls
post-process grid                   :      0.000u      0.000s      0.142w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.018w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.031w     36 calls
DFH: initialize()                   :      0.000u      0.000s      0.224w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.024w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.040w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.000u      0.000s      0.163w      2 calls
SAD Guess                           :      0.000u      0.000s      0.162w      2 calls
HF: Form G                          :      0.000u      0.000s      2.155w     17 calls
RV: Form V                          :      0.000u      0.000s      2.012w     17 calls
Properties                          :      5.776p                          33678 calls
Functional                          :      9.214p                          33678 calls
